茅台股价多少	茅台酒多少钱一瓶	0
下周三是几号	下周三是什么日期	1
台风什么时候来	台风什么时候登陆	1
到机场要多久	雅思多少分算过	0
洗衣机不脱水怎么修	洗衣机无法脱水怎么办	1
怎么连WiFi	WiFi怎么连接	1
乌龟冬眠吗	乌龟吃什么	0
上海天气怎么样	到上海怎么走	0
明天早上会下雨吗	明天早晨有雨吗	1
怎么清理手机内存	手机内存不足怎么办	1
通货膨胀率是多少	利率是多少	0
孩子发烧怎么办	小孩发烧该怎么处理	1
这个药一天吃几次	怎么退火车票	0
女朋友生气了怎么办	女友生气怎么哄	1
今天苏州下雨了吗	这件衣服有别的颜色吗	0
我喜欢猫	我喜欢狗	0
怎么去火车站	今天股票行情怎么样	0
什么时候发货	几天能发货	1
今天适合洗车吗	今天适合洗车吗	1
怀孕了能吃药吗	孕期可以吃药吗	1
营业到几点	几点关门	1
附近有药店吗	最近的药店在哪里	1
房贷利率是多少	现在房贷利息多少	1
有优惠券吗	有没有优惠券	1
公积金怎么提取	如何提取住房公积金	1
第一次约会去哪里	初次约会去哪里好	1
今天油价多少钱	怎么训练狗狗坐下	0
什么时候发货	什么时候到货	0
现在北京时间	现在北京几点	1
北京有什么好玩的	北京有什么好吃的	0
苏州有什么好玩的	苏州明天天气	0
怎么提高英语口语	英语口语怎么练	1
