text,label
英特尔发布酷睿Ultra处理器集成AI引擎,科技
海思半导体麒麟芯片回归5G市场,科技
中国光伏企业隆基绿能创电池效率世界纪录,科技
甲骨文与英伟达合作建设AI超级计算机,科技
中国移动开通5G-A商用网络,科技
字节跳动推出AI视频生成工具,科技
中国商飞ARJ21支线飞机交付突破百架,科技
索尼发布新一代游戏主机PS5 Pro,科技
云从科技发布行业大模型解决方案,科技
中国电信天翼云发布AI算力平台,科技
碳化硅芯片在新能源汽车中加速应用,科技
小米澎湃OS系统设备激活数突破1亿,科技
中国工业机器人密度位居全球第五,科技
Meta发布开源大模型Llama 3,科技
中国激光雷达企业禾赛科技登陆纳斯达克,科技
亚马逊AWS推出Trainium2 AI训练芯片,科技
中国新能源汽车充电桩数量突破1000万,科技
百度Apollo无人驾驶出租车在武汉运营,科技
SK海力士开发出下一代HBM4内存,科技
中芯国际N+2工艺良率提升至95%,科技
Adobe推出Firefly AI视频编辑工具,科技
中国商业航天企业星河动力发射成功,科技
特斯拉Optimus机器人在工厂中执行任务,科技
华为昇腾AI芯片生态合作伙伴超过2000家,科技
中国eVTOL飞行汽车获得适航认证,科技
苹果Vision Pro在中国市场反响热烈,科技
宁德时代钠离子电池量产装车,科技
阿里巴巴平头哥发布RISC-V处理器,科技
中国车路协同技术在雄安新区示范应用,科技
微软Azure AI服务新增中文大模型支持,科技
中国EDA工具厂商华大九天推出新品,科技
三星SDI公布全固态电池量产时间表,科技
华为智能汽车解决方案BU独立运营,科技
中国低轨卫星互联网星座开始组网,科技
亚马逊推出AI购物助手Rufus,科技
中国无人机企业亿航智能获得全球首张适航证,科技
谷歌TPU v5p在AI训练中展现强大性能,科技
中微公司5纳米刻蚀机通过验证,科技
美团自动配送车在北京顺义运营,科技
中国区块链技术在供应链金融中广泛应用,科技
华为云发布分布式云原生数据库,科技
中国手术机器人企业微创医疗上市,科技
美国FAA批准波音新型电动飞机测试,科技
中国船舶集团交付全球最大集装箱船,科技
全球首台商用核电小堆玲龙一号投产,科技
中国储能电池企业宁德时代全球份额第一,科技
华为发布自动驾驶网络解决方案,科技
中国碳捕集技术示范项目投入使用,科技
苹果与OpenAI合作推出AI助手,科技
比亚迪刀片电池通过最严苛安全测试,科技
中国数字人民币跨境支付试点扩大,科技
中国机器视觉企业旷视科技推出新算法,科技
微软发布Surface Pro 10 AI版,科技
中国大推力火箭发动机试车成功,科技
长江存储3D NAND闪存突破300层,科技
中国6G白皮书发布明确技术路线,科技
商汤科技发布自动驾驶大模型,科技
日本半导体企业 Rapidus 计划量产2纳米,科技
中国基因编辑技术CRISPR治疗遗传病取得突破,科技
紫光展锐发布6G芯片原型,科技
中国航空工业集团AC313A直升机首飞,科技
台积电德国工厂正式开工建设,科技
中国LED芯片企业三安光电布局碳化硅,科技
百度智能云发布AI工业化生产平台,科技
中国船舶动力系统突破核心技术,科技
A股三大指数集体上涨成交量放大,财经
央行宣布降准0.5个百分点释放流动性,财经
黄金价格突破每盎司2500美元创历史新高,财经
北向资金本月净流入超过800亿元,财经
人民币汇率大幅升值突破7.1关口,财经
新能源板块集体走强宁德时代涨超7%,财经
茅台股价重返1800元市值突破2万亿,财经
证监会发布新规加强量化交易监管,财经
国债收益率下行债券市场迎来牛市,财经
比亚迪公布财报净利润同比增长超80%,财经
全面注册制实施一周年IPO审核效率提升,财经
中特估概念持续走强央企改革受益,财经
美联储维持利率不变市场预计年内降息,财经
楼市新政出台一线城市取消限购,财经
欧盟对中国电动汽车加征关税影响出口,财经
科技股反弹纳斯达克指数创年内新高,财经
央行数字货币试点城市扩大至50个,财经
沪深港通交易机制优化吸引外资流入,财经
券商板块集体大涨中信证券涨停,财经
国际油价大幅下跌OPEC+增产超预期,财经
华为产业链个股集体爆发投资者追捧,财经
中概股回归潮持续多家公司申请上市,财经
个人养老金制度全面实施长期利好资本市场,财经
量化CTA策略今年表现优异平均收益超15%,财经
地方债务化解方案出台城投债收益率下行,财经
公募基金费率改革第二阶段启动,财经
全球航运价格飙升中远海控业绩大增,财经
消费电子复苏苹果产业链个股走强,财经
半导体行业周期触底存储芯片价格反弹,财经
银保渠道佣金费率下调银行股承压,财经
全国碳市场交易活跃度提升碳价创新高,财经
新能源车销量持续增长渗透率突破50%,财经
农业板块受极端天气影响粮食价格波动,财经
中央经济工作会议部署明年经济工作,财经
银行股股息率超过5%高分红策略受追捧,财经
中国外汇储备规模稳定在3万亿美元以上,财经
REITs市场扩容消费基础设施纳入试点,财经
东数西算工程带动算力产业链投资,财经
独角兽企业IPO回暖多家公司递交招股书,财经
房地产企业融资环境改善信用债发行恢复,财经
国企改革三年行动收官央企效率提升,财经
日本央行结束负利率政策全球资本流动受影响,财经
AI概念股分化算力板块持续走强,财经
中国进出口数据超预期贸易顺差扩大,财经
新能源下乡政策推动农村充电设施建设,财经
科创板做市商制度运行平稳流动性改善,财经
全球半导体设备市场中国占比持续提升,财经
城投公司市场化转型加速产业化投资,财经
私募基金规模突破20万亿量化占比提升,财经
原油期货价格波动加剧地缘政治风险,财经
碳减排支持工具扩围绿色债券发行放量,财经
全国统一大市场建设加速物流板块受益,财经
央企市值管理纳入考核体系国企估值修复,财经
北交所改革深化做市商扩容至15家,财经
美国非农就业数据超预期美元指数走强,财经
中药板块政策利好持续龙头企业受益,财经
上交所修订股票上市规则优化退市机制,财经
智能驾驶概念股爆发激光雷达企业领涨,财经
港股通南向资金持续净流入腾讯获加仓,财经
全球经济增速放缓IMF下调增长预期,财经
保险资金投资权益类资产比例上限提升,财经
数据要素市场建设加快确权交易规则出台,财经
银行净息差持续收窄中小银行面临压力,财经
电解铝行业产能受限铝价创年内新高,财经
数字人民币跨境结算平台上线运行,财经
欧洲央行降息欧元区经济复苏动力不足,财经
养老目标基金Y份额规模快速增长,财经
水泥行业错峰生产常态化价格企稳回升,财经
电商平台618大促成交额增速放缓,财经
国产替代概念持续发酵半导体设备龙头受益,财经
货币政策委员会例会释放积极信号,财经
国际金价与美元同涨避险情绪升温,财经
物流行业竞争加剧快递单价持续下降,财经
医药集采常态化创新药企业加速出海,财经
中国-东盟自贸区升级谈判取得进展,财经
地方专项债券发行提速基建投资增长,财经
通信运营商资本开支增长5G应用加速落地,财经
生猪价格低位反弹养殖企业扭亏为盈,财经
中国加入CPTPP谈判取得积极进展,财经
券商资管业务转型主动管理规模提升,财经
光伏组件价格跌至历史低位行业洗牌加速,财经
国际铜价受供应中断影响大幅上涨,财经
城中村改造专项借款落地地产链修复,财经
人民币国际化进展迅速跨境结算占比提升,财经
氢能产业政策密集出台示范城市群启动,财经
科创板芯片公司集体披露业绩预增,财经
全球航运碳排放新规影响运价走势,财经
供销社体系改革试点范围扩大,财经
上市公司分红新规约束铁公鸡行为,财经
中国碳市场有望纳入钢铁水泥行业,财经
国际原油供应中断风险推高能源板块,财经
人民币跨境支付系统CIPS参与者超千家,财经
消费市场复苏餐饮收入同比增长超10%,财经
新能源电池回收产业爆发千亿市场开启,财经
国债期货价格创年内新高避险需求旺盛,财经
小微企业融资成本持续下降普惠金融发力,财经
PPP新机制出台民间投资信心恢复,财经
中国绿色债券发行规模全球领先,财经
电解镍价格大幅波动新能源产业链承压,财经
外贸企业汇率避险工具使用率提升,财经
电影《流浪地球3》定档春节票房预售火爆,娱乐
综艺《歌手5》总决赛收视率破5,娱乐
演员张艺谋获得终身成就奖引发热议,娱乐
周杰伦巡回演唱会一票难求,娱乐
电视剧《庆余年3》开播首日播放量破亿,娱乐
抖音创作者大会在北京举行,娱乐
国产游戏《黑神话悟空》销量突破3000万份,娱乐
B站UP主百大评选结果揭晓,娱乐
春晚节目单公布沈腾马丽合作小品,娱乐
TFBOYS十周年演唱会线上观看人数破纪录,娱乐
漫威电影《复仇者联盟6》在中国定档,娱乐
短视频平台抖音推出长视频功能,娱乐
刘德华巡回演唱会门票秒罄,娱乐
电视剧《漫长的季节》获豆瓣评分9.4,娱乐
《流浪地球》导演郭帆宣布新片计划,娱乐
周星驰新片《少林女足》正式开机,娱乐
迪士尼乐园疯狂动物城园区开园,娱乐
网络剧《隐秘的角落2》演员阵容公布,娱乐
脱口秀大会新赛季选手名单曝光,娱乐
好莱坞演员罢工结束新片制作恢复,娱乐
国产动画电影《哪吒2》票房突破50亿,娱乐
央视《诗词大会》新赛季冠军诞生,娱乐
蔡徐坤新专辑销量破纪录,娱乐
密室逃脱综艺《明星大侦探》第九季开播,娱乐
国家大剧院新年音乐会门票开售,娱乐
吴京新电影《战狼3》剧本通过审核,娱乐
爱奇艺调整会员价格引发用户讨论,娱乐
王牌对王牌新一季嘉宾阵容曝光,娱乐
肖战主演新剧在央视黄金档播出,娱乐
全球票房排行榜中国电影占据三席,娱乐
陈奕迅将在北京鸟巢举办演唱会,娱乐
腾讯视频年度片单发布多部大剧亮相,娱乐
刘亦菲主演迪士尼真人电影宣传启动,娱乐
相声演员郭德纲海外巡演一票难求,娱乐
综艺《向往的生活》第七季收官,娱乐
游戏《原神》全球收入突破百亿美元,娱乐
胡歌新剧《县委大院》获飞天奖,娱乐
歌手邓紫棋新歌MV播放量破亿,娱乐
横店影视城剧组数量创历史新高,娱乐
贾玲导演新片《热辣滚烫》开机,娱乐
乐华娱乐上市后首个家族演唱会,娱乐
国产动漫《斗破苍穹》年番更新中,娱乐
杨幂与嘉行传媒解约成立个人工作室,娱乐
湖南卫视跨年演唱会阵容公布,娱乐
游戏主播张大仙入驻抖音首播,娱乐
上海国际电影节金爵奖获奖名单揭晓,娱乐
沈腾主演电影累计票房突破300亿,娱乐
凤凰传奇演唱会全场大合唱引发共鸣,娱乐
《这！就是街舞》第七季冠军诞生,娱乐
歌手王菲为电影献唱主题曲,娱乐
开心麻花新话剧全国巡演开启,娱乐
日本动漫《鬼灭之刃》新剧场版引进,娱乐
赵丽颖新剧《与凤行》播放量破纪录,娱乐
短剧市场爆发精品短剧分账超千万,娱乐
林俊杰演唱会嘉宾邀请周杰伦,娱乐
《乘风破浪的姐姐》第五季开播,娱乐
易烊千玺主演电影入围国际电影节,娱乐
虚拟偶像团体A-SOUL举办周年演唱会,娱乐
流浪地球周边产品众筹金额破亿,娱乐
香港金像奖颁奖典礼举行,娱乐
影视剧OST歌曲在音乐平台霸榜,娱乐
德云社封箱演出门票开售即罄,娱乐
环球影城万圣节活动吸引年轻游客,娱乐
宋祖儿新剧路透照片登上热搜,娱乐
《明星大侦探》衍生综艺开播,娱乐
电影《封神第二部》后期制作完成,娱乐
王一博主演电影在国庆档上映,娱乐
抖音微短剧付费模式用户增长迅速,娱乐
蔡明潘长江春晚小品经典回顾,娱乐
《创造营》新赛季海外练习生加入,娱乐
王家卫导演电视剧《繁花》好评如潮,娱乐
李佳琦直播间观看人数破亿,娱乐
国产单机游戏《影之刃零》获得关注,娱乐
五月天演唱会荧光海感动全场,娱乐
综艺《花儿与少年》新一季开拍,娱乐
电影资料馆举办香港电影回顾展,娱乐
杨洋新剧路透照引发粉丝热议,娱乐
B站纪录片《人生一串》第四季开播,娱乐
迪士尼真人版《白雪公主》引发争议,娱乐
国风音乐盛典在鸟巢举行,娱乐
金星脱口秀全国巡演启动,娱乐
电视剧《三体2》进入拍摄阶段,娱乐
短视频平台知识类创作者收入增长,娱乐
薛之谦演唱会因天气原因延期,娱乐
开心麻花电影票房累计突破百亿,娱乐
《这就是灌篮》第六季嘉宾阵容公布,娱乐
电影《满江红》获香港电影金像奖提名,娱乐
虚拟现实演唱会体验馆在多个城市开业,娱乐
郭敬明新电影《云之羽》定档暑期,娱乐
选秀节目重启发型综艺模式创新,娱乐
央视《国家宝藏》第四季回归,娱乐
刘谦魔术巡演门票开售秒空,娱乐
国产动画《时光代理人》第二季热播,娱乐
音乐剧《剧院魅影》中文版巡演好评,娱乐
抖音电商直播明星带货频创纪录,娱乐
黄渤导演新片进入后期制作阶段,娱乐
周深演唱会巡演多个城市加场,娱乐
网飞投资中国原创剧集引发关注,娱乐
猫眼娱乐发布年度演出市场报告,娱乐
